Model,Parameters,Accuracy,PrecisionRise,PrecisionFall,PrecisionStay,RecallRise,RecalFall,RecalStay,F1Rise,F1Fall,F1Stay
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 1,0.4302134646962233,0.43193106635641515,0.44601619808994225,0.42391739337110806,0.38167723085932354,0.32319575387633703,0.5807317950171597,0.4038117522393694,0.37389572503313656,0.4892222147388639
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 2,0.4306826178747361,0.4132229556481979,0.46595851810353367,0.43040888006445893,0.41644856532376523,0.2872411593423702,0.5865329027467556,0.4137346144133362,0.3545632199403457,0.4957786231912589
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 3,0.4337321135350692,0.4224008247671622,0.4612013059843598,0.43035185140059334,0.4074760199181298,0.3049343954421904,0.5841642363405167,0.41427817315698107,0.36634132903782685,0.49514477787717315
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 4,0.4376026272577997,0.423995966232102,0.4726870038138486,0.43304662598104676,0.4151674943019105,0.29530272384593886,0.6008271944298559,0.4191358002684096,0.362440151586763,0.5031263561040927
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 2 min_samples_leaf: 5,0.43338024865118463,0.4227574917531208,0.4819615585140147,0.4255539019493695,0.4077352043428608,0.29111980488192457,0.6042738457903553,0.4132923385915918,0.35947078437507257,0.49854288761763876
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 1,0.4427633122214403,0.4347118579515959,0.4415742445575494,0.45091664461185804,0.411955923984116,0.31408509433345017,0.5895267084446696,0.4222440032877222,0.36614499549147655,0.5107871560494676
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 2,0.43115177105324887,0.4251108606285099,0.464474242326632,0.4214898554079831,0.4072115385746671,0.3013955185478568,0.5869084360333319,0.41490264752892086,0.36469145807261133,0.4902456064341212
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 3,0.4272812573305183,0.42303219816187115,0.4392274698340875,0.42521773880780706,0.3942306047092103,0.30380726449782863,0.581318722409469,0.4075252100869858,0.3587695529380502,0.4908559928430265
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 4,0.4296270232230823,0.41371784361238856,0.4750311006955401,0.42277621922501923,0.4013492060565431,0.29025625211651845,0.5944465206473835,0.4065395912198411,0.3600936349107258,0.4932665990703801
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 3 min_samples_leaf: 5,0.42470091484869815,0.40984732967894405,0.4549310958191559,0.4231572815129249,0.39481484026617025,0.2764567697576253,0.6028121184894609,0.40158987443843425,0.3427635674900409,0.49707387774366535
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 1,0.434201266713582,0.4297594629609547,0.4663079584823282,0.4234951127340658,0.3978242733291287,0.30614628137192995,0.6016116127653571,0.4118562027700287,0.36893483311765823,0.49668260296438843
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 2,0.4411212760966456,0.4165308709459455,0.4824782843935222,0.4421146384346219,0.4185404817642882,0.30794887203274235,0.5935516430860064,0.416349064327649,0.3750737531512256,0.506480836084572
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 3,0.43502228477597943,0.42598247183629107,0.45598631506859344,0.43248235808291186,0.39201205623386803,0.3132766525882502,0.6026345278629742,0.40695183026889853,0.37059537504747103,0.5028958454278444
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 4,0.43549143795449224,0.4316744443117076,0.44497112375663717,0.4336838687001095,0.4009681055943531,0.3131944823203032,0.5856611090889555,0.4154930444187059,0.3671879081146913,0.4981804718091401
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 4 min_samples_leaf: 5,0.43361482524044104,0.4298614832694792,0.4338117820214202,0.4379252282044517,0.4006395209636037,0.28760040766112205,0.6062077796189633,0.4136609650395959,0.3445533933336289,0.508287979231628
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 1,0.43842364532019706,0.40994802308641226,0.4723547495908332,0.4445988338995432,0.4202854604533776,0.3037051165428702,0.5835155196150386,0.414714994075303,0.36954663229031964,0.5045398046190176
Random Forest,window_size: 0  max_depth: 5 min_samples_split: 5 min_samples_leaf: 2,0.4446399249354915,0.4362979326011674,0.46318141530494455,0.444230776403218,0.40957955851324784,0.31159128493343197,0.6095991688074178,0.42030871326418234,0.3703843369079029,0.5137092132148106
